food_id,name_ko,category,subcategory,serving_size_g,carbs_g,fiber_g,avail_carb_g,gi,gi_source,gi_confidence,gi_ref,gi_note,gl_per_serving
KR-0102,소갈비 (양념),korean,육류,200,15.0,0.5,14.5,65,db_estimated,low,"estimate: 탄수 = 설탕 양념(sucrose 65, Atkinson2008)",고기 자체는 GI 무의미,9.4
KR-0104,닭갈비,korean,육류,250,18.0,2.0,16.0,65,db_estimated,low,estimate: 고추장/설탕 양념 + 채소,직접 측정치 없음,10.4
KR-0107,닭볶음탕,korean,육류,300,18.0,2.0,16.0,60,db_estimated,low,estimate: 감자 + 고추장 양념,직접 측정치 없음,9.6
KR-0109,갈비찜,korean,육류,250,20.0,1.5,18.5,65,db_estimated,low,estimate: 설탕 간장 양념 + 채소,직접 측정치 없음,12.0
KR-0115,양념갈비 (돼지),korean,육류,200,18.0,0.5,17.5,65,db_estimated,low,"estimate: 탄수 = 설탕 양념(sucrose 65, Atkinson2008)",고기 자체는 GI 무의미,11.4
KR-0116,소불고기전골,korean,전골류,500,30.0,3.0,27.0,60,db_estimated,low,estimate: 당면60(LimBJN2019) + 설탕 양념,직접 측정치 없음,16.2
KR-0120,소곱창전골,korean,전골류,500,20.0,3.0,17.0,60,db_estimated,low,estimate: 당면60(LimBJN2019) + 채소,직접 측정치 없음,10.2
KR-0153,해물파전,korean,해산물,200,30.0,1.5,28.5,65,db_estimated,low,"estimate: 밀가루 전(밀전병계, LimBJN2019) + 해물",직접 측정치 없음,18.5
KR-0156,오징어볶음,korean,해산물,200,15.0,1.5,13.5,60,db_estimated,low,estimate: 고추장/설탕 양념,※ 가용탄수 13.5g,8.1
KR-0157,해물찜,korean,해산물,350,15.0,2.0,13.0,60,db_estimated,low,estimate: 콩나물/전분물 + 양념,※ 가용탄수 13g,7.8
KR-0162,굴전,korean,전류,150,20.0,1.0,19.0,65,db_estimated,low,estimate: 밀가루/계란 옷 + 굴,직접 측정치 없음,12.3
KR-0163,낙지볶음,korean,해산물,200,12.0,2.0,10.0,55,db_estimated,low,estimate: 고추장 양념 + 채소,※ 가용탄수 10g,5.5
KR-0200,라면 (봉지),korean,면류,120,62.0,2.0,60.0,56,db_measured,med,LimBJN2019,라면: 국수류 GI 48.2-60.0 범위 상단(GL 44.6으로 최고),33.6
KR-0201,칼국수,korean,면류,450,65.0,2.5,62.5,48,db_measured,med,LimBJN2019,fresh wheat noodles 48.2,30.0
KR-0202,잔치국수,korean,면류,400,60.0,2.0,58.0,50,db_measured,med,LimBJN2019,건면(소면) 국수류 48-56,29.0
KR-0203,비빔국수,korean,면류,350,65.0,2.5,62.5,55,db_estimated,low,estimate: 소면50(LimBJN2019) + 고추장양념(설탕),비빔국수 직접 측정치 없음,34.4
KR-0204,냉면 (물냉면),korean,면류,500,82.0,2.0,80.0,55,db_estimated,low,estimate: 메밀면54(Atkinson2008) + 전분면,냉면 직접 측정치 없음; 메밀:전분 비율 가변,44.0
KR-0205,짜장면,korean,면류,550,85.0,3.0,82.0,60,db_estimated,low,estimate: 밀면50(LimBJN2019) + 춘장/설탕/전분,직접 측정치 없음,49.2
KR-0206,짬뽕,korean,면류,600,62.0,3.5,58.5,55,db_estimated,low,estimate: 밀면50(LimBJN2019) + 국물,직접 측정치 없음,32.2
KR-0207,만두 (군만두 5개),korean,면류,175,32.0,1.5,30.5,55,db_estimated,low,estimate: 밀피(밀가루계 LimBJN2019) + 튀김기름,만두 직접 측정치 없음,16.8
KR-0208,만두 (물만두 8개),korean,면류,200,35.0,1.5,33.5,55,db_estimated,low,estimate: 밀피(밀가루계 LimBJN2019),만두 직접 측정치 없음,18.4
KR-0209,쫄면,korean,면류,350,70.0,2.0,68.0,60,db_estimated,low,estimate: 쫄면사리(밀+전분) + 양념(설탕),직접 측정치 없음,40.8
KR-0250,떡볶이,korean,분식류,300,72.0,2.0,70.0,75,db_estimated,low,estimate: 쌀떡(가열·호화) + 물엿/설탕 양념. 가래떡 50.6(RDA-KHU2015)와 쌀가공품 고GI 사이 중앙,※ 떡볶이 직접 측정치 없음. 추정 범위 55-85로 넓음 — 전문가 검수 1순위,52.5
KR-0251,순대,korean,분식류,200,28.0,1.0,27.0,60,db_measured,low,LimBJN2019 당면 60.0,순대 탄수=당면 지배(sweet potato starch vermicelli 60.0),16.2
KR-0252,어묵탕,korean,분식류,300,18.0,0.5,17.5,60,db_estimated,low,estimate: 어묵(밀/전분 반죽),직접 측정치 없음,10.5
KR-0253,튀김 (모듬),korean,분식류,200,40.0,2.0,38.0,65,db_estimated,low,estimate: 밀가루 튀김옷 + 기름(GI 하향),직접 측정치 없음,24.7
KR-0254,호떡,korean,분식류,100,42.0,1.0,41.0,75,db_estimated,low,estimate: 밀가루 반죽 + 흑설탕 소,직접 측정치 없음,30.8
KR-0260,치즈떡볶이,korean,분식류,350,68.0,2.0,66.0,72,db_estimated,low,estimate: 떡볶이75 + 치즈(지방 → GI 하향),※ 직접 측정치 없음,47.5
KR-0261,라볶이,korean,분식류,400,78.0,2.5,75.5,70,db_estimated,low,estimate: 떡볶이75 + 라면사리56(LimBJN2019),※ 직접 측정치 없음,52.9
KR-0262,김떡만,korean,분식류,400,82.0,3.0,79.0,72,db_estimated,low,estimate: 떡볶이75 + 김밥68 + 만두55 가중,※ 직접 측정치 없음,56.9
KR-0263,오뎅볶음,korean,분식류,150,20.0,1.0,19.0,60,db_estimated,low,estimate: 어묵60 + 양념(설탕),직접 측정치 없음,11.4
KR-0305,잡채,korean,반찬류,150,32.0,1.5,30.5,62,db_measured,low,LimBJN2019 당면 60.0 + 설탕 양념,잡채 탄수 = 당면 지배,18.9
KR-0309,감자조림,korean,반찬류,100,22.0,1.5,20.5,70,db_estimated,low,"estimate: 감자(boiled 78, Atkinson2008) + 간장/설탕 조림",※ 조리법 편차 큼,14.3
KR-0310,어묵볶음,korean,반찬류,80,12.0,0.5,11.5,60,db_estimated,low,estimate: 어묵(밀/전분) + 양념,직접 측정치 없음,6.9
KR-0328,연근조림,korean,반찬류,80,18.0,2.0,16.0,55,db_estimated,low,estimate: 연근(전분) + 설탕 조림,직접 측정치 없음,8.8
KR-0329,우엉조림,korean,반찬류,80,16.0,3.0,13.0,50,db_estimated,low,estimate: 우엉(고섬유) + 설탕 조림,직접 측정치 없음,6.5
KR-0350,김치전,korean,전류,150,25.0,1.5,23.5,65,db_estimated,low,estimate: 밀가루 전 + 김치,직접 측정치 없음,15.3
KR-0351,감자전,korean,전류,150,28.0,1.5,26.5,70,db_estimated,low,"estimate: 감자(78, Atkinson2008) + 기름(GI 하향)",직접 측정치 없음,18.6
KR-0353,녹두전,korean,전류,150,22.0,2.0,20.0,50,db_estimated,low,"estimate: 녹두(mung bean 39-45 저GI, Atkinson2008) + 기름",직접 측정치 없음,10.0
KR-0360,부추전,korean,전류,150,24.0,2.0,22.0,65,db_estimated,low,estimate: 밀가루 전 + 부추,직접 측정치 없음,14.3
KR-0361,파전,korean,전류,200,28.0,1.5,26.5,65,db_estimated,low,estimate: 밀가루 전 + 파,직접 측정치 없음,17.2
KR-0362,빈대떡,korean,전류,200,25.0,3.0,22.0,50,db_estimated,low,"estimate: 녹두(저GI, Atkinson2008) + 기름",직접 측정치 없음,11.0
KR-0400,찜닭,korean,찜류,300,25.0,2.0,23.0,62,db_estimated,low,estimate: 당면60(LimBJN2019) + 설탕 간장,직접 측정치 없음,14.3
KR-0402,아구찜,korean,찜류,350,18.0,3.0,15.0,60,db_estimated,low,estimate: 콩나물/전분물 + 고추장,※ 가용탄수 15g,9.0
KR-0410,닭도리탕,korean,찜류,350,18.0,2.5,15.5,60,db_estimated,low,estimate: 감자 + 고추장 양념,직접 측정치 없음,9.3
KR-0411,코다리조림,korean,찜류,250,12.0,1.0,11.0,60,db_estimated,low,estimate: 물엿/고추장 양념,※ 가용탄수 11g,6.6
KR-0412,안동찜닭,korean,찜류,350,30.0,2.0,28.0,62,db_estimated,low,estimate: 당면60(LimBJN2019) + 설탕 간장,직접 측정치 없음,17.4
KR-0413,보리밥 정식,korean,정식,600,95.0,8.0,87.0,55,db_estimated,low,estimate: 보리밥50(LimBJN2019) 지배 + 반찬,정식 구성 가변,47.9
KR-0414,백반 정식,korean,정식,600,90.0,6.0,84.0,68,db_estimated,low,estimate: 백미밥70(LimBJN2019) 지배 + 반찬,정식 구성 가변,57.1
KR-0415,국밥 (돼지),korean,탕류,500,45.0,1.0,44.0,70,db_estimated,low,estimate: 백미밥70(LimBJN2019) 지배,직접 측정치 없음,30.8
KR-0416,쌈밥 정식,korean,정식,500,60.0,5.0,55.0,65,db_estimated,low,estimate: 백미밥70(LimBJN2019) + 쌈채소(섬유),정식 구성 가변,35.8
SD-0002,카페라떼,snack_drink,커피,355,15.0,0.0,15.0,35,db_estimated,low,estimate: 우유37(Atkinson2008),탄수 = 우유 유당,5.2
SD-0003,콜라 (355ml),snack_drink,탄산음료,355,39.0,0.0,39.0,63,db_measured,high,Atkinson2008 Coca-Cola 63,,24.6
SD-0005,오렌지 주스 (200ml),snack_drink,주스,200,21.0,0.5,20.5,50,db_measured,high,Atkinson2008 orange juice 50,,10.2
SD-0006,초코우유 (200ml),snack_drink,우유,200,28.0,1.0,27.0,40,db_measured,low,"Atkinson2008 milk, chocolate flavoured 34-43",제품별 당 함량 편차,10.8
SD-0007,식빵 (1장),snack_drink,빵류,30,14.0,0.5,13.5,75,db_measured,high,Atkinson2008,White wheat flour bread — 국제표 평균 75,10.1
SD-0008,크로와상,snack_drink,빵류,60,26.0,1.0,25.0,67,db_measured,med,Atkinson2008,Croissant 67,16.8
SD-0009,소금빵,snack_drink,빵류,55,22.0,0.5,21.5,70,db_estimated,low,estimate: 흰빵75(Atkinson2008) + 버터(지방 → GI 하향),소금빵 직접 측정치 없음,15.1
SD-0010,마카롱 (1개),snack_drink,디저트,25,14.0,0.5,13.5,60,db_estimated,low,estimate: 아몬드가루(저GI) + 설탕/머랭(고GI),직접 측정치 없음,8.1
SD-0011,떡 (송편 2개),snack_drink,디저트,80,32.0,1.0,31.0,60,db_estimated,low,estimate: 쌀떡; 가래떡 50.6(RDA-KHU2015) + 설탕/깨 소,※ 송편 직접 측정치 없음,18.6
SD-0012,아이스크림 (1스쿱),snack_drink,디저트,70,17.0,0.5,16.5,57,db_measured,med,"Atkinson2008 ice cream, regular 57",,9.4
SD-0013,붕어빵 (1개),snack_drink,디저트,80,30.0,1.0,29.0,70,db_estimated,low,estimate: 밀가루 반죽 + 팥소(설탕),직접 측정치 없음,20.3
SD-0014,에너지바,snack_drink,간식,50,30.0,2.0,28.0,60,db_estimated,low,estimate: energy bar 30-70 중 시럽 함유형(Atkinson2008),※ 제품별 편차 큼,16.8
SD-0021,유자차,snack_drink,차,200,20.0,0.5,19.5,60,db_estimated,low,"estimate: 유자청(sucrose 65, Atkinson2008)",직접 측정치 없음,11.7
SD-0022,식혜,snack_drink,음료,200,22.0,0.0,22.0,75,db_estimated,low,"estimate: 엿기름 당화 → 맥아당 지배(maltose 105 상단, Atkinson2008)",※ 식혜 직접 측정치 없음. 상향 여지,16.5
SD-0023,수정과,snack_drink,음료,200,18.0,0.5,17.5,65,db_estimated,low,"estimate: 흑설탕(sucrose 65, Atkinson2008)",직접 측정치 없음,11.4
SD-0024,에너지 드링크 (레드불),snack_drink,음료,250,28.0,0.0,28.0,68,db_estimated,low,"estimate: 설탕음료(sucrose 65 / soft drink 63-68, Atkinson2008)",직접 측정치 없음,19.0
SD-0025,스포츠 음료 (500ml),snack_drink,음료,500,32.0,0.0,32.0,78,db_measured,med,Atkinson2008 Gatorade / sports drink 78,,25.0
SD-0030,호두과자 (3개),snack_drink,간식,60,18.0,1.0,17.0,70,db_estimated,low,estimate: 밀가루 + 설탕 + 팥소,직접 측정치 없음,11.9
SD-0031,약과 (1개),snack_drink,간식,40,22.0,0.5,21.5,75,db_estimated,low,estimate: 밀가루 + 조청/꿀 + 튀김,직접 측정치 없음,16.1
SD-0032,떡 (인절미 3개),snack_drink,간식,90,42.0,0.5,41.5,65,db_estimated,low,"estimate: 찹쌀떡(찹쌀=고GI, LimBJN2019) vs 냉각 노화전분(하향) 절충",※ 인절미 직접 측정치 없음. 편차 큼,27.0
SD-0033,감자칩 (1봉),snack_drink,과자,60,30.0,1.5,28.5,56,db_measured,med,Atkinson2008 potato chips 56,,16.0
SD-0034,초코파이 (1개),snack_drink,과자,35,21.0,0.5,20.5,65,db_estimated,low,estimate: 밀 + 설탕 + 마시멜로,직접 측정치 없음,13.3
SD-0035,빼빼로 (1봉),snack_drink,과자,46,30.0,1.0,29.0,65,db_estimated,low,estimate: 밀 비스킷 + 초콜릿,직접 측정치 없음,18.9
SD-0036,바닐라 라떼 (톨),snack_drink,커피,355,28.0,0.0,28.0,55,db_estimated,low,estimate: 우유37(Atkinson2008) + 바닐라시럽(sucrose 65),직접 측정치 없음,15.4
SD-0037,딸기 스무디,snack_drink,음료,400,52.0,2.0,50.0,50,db_estimated,low,"estimate: 딸기(strawberry 40, Atkinson2008) + 시럽/우유",직접 측정치 없음,25.0
